"DateTime","Centers for Disease Control and Prevention[en]"
"2010-01-24 00:00:00",0
"2010-01-25 00:00:00",704
"2010-01-26 00:00:00",846
"2010-01-27 00:00:00",704
"2010-01-28 00:00:00",701
"2010-01-29 00:00:00",597
"2010-01-30 00:00:00",462
"2010-01-31 00:00:00",583
"2010-02-01 00:00:00",699
"2010-02-02 00:00:00",658
"2010-02-03 00:00:00",869
"2010-02-04 00:00:00",787
"2010-02-05 00:00:00",780
"2010-02-06 00:00:00",598
"2010-02-07 00:00:00",566
"2010-02-08 00:00:00",536
"2010-02-09 00:00:00",672
"2010-02-10 00:00:00",745
"2010-02-11 00:00:00",761
"2010-02-12 00:00:00",613
"2010-02-13 00:00:00",421
"2010-02-14 00:00:00",434
"2010-02-15 00:00:00",597
"2010-02-16 00:00:00",701
"2010-02-17 00:00:00",722
"2010-02-18 00:00:00",711
"2010-02-19 00:00:00",662
"2010-02-20 00:00:00",498
"2010-02-21 00:00:00",552
"2010-02-22 00:00:00",712
"2010-02-23 00:00:00",747
"2010-02-24 00:00:00",563
"2010-02-25 00:00:00",584
"2010-02-26 00:00:00",652
"2010-02-27 00:00:00",547
"2010-02-28 00:00:00",515
"2010-03-01 00:00:00",704
"2010-03-02 00:00:00",778
"2010-03-03 00:00:00",716
"2010-03-04 00:00:00",696
"2010-03-05 00:00:00",590
"2010-03-06 00:00:00",481
"2010-03-07 00:00:00",551
"2010-03-08 00:00:00",777
"2010-03-09 00:00:00",810
"2010-03-10 00:00:00",825
"2010-03-11 00:00:00",777
"2010-03-12 00:00:00",852
"2010-03-13 00:00:00",638
"2010-03-14 00:00:00",688
"2010-03-15 00:00:00",875
"2010-03-16 00:00:00",878
"2010-03-17 00:00:00",781
"2010-03-18 00:00:00",799
"2010-03-19 00:00:00",857
"2010-03-20 00:00:00",720
"2010-03-21 00:00:00",539
"2010-03-22 00:00:00",814
"2010-03-23 00:00:00",897
"2010-03-24 00:00:00",939
"2010-03-25 00:00:00",943
"2010-03-26 00:00:00",877
"2010-03-27 00:00:00",679
"2010-03-28 00:00:00",734
"2010-03-29 00:00:00",871
"2010-03-30 00:00:00",990
"2010-03-31 00:00:00",993
"2010-04-01 00:00:00",814
"2010-04-02 00:00:00",719
"2010-04-03 00:00:00",682
"2010-04-04 00:00:00",604
"2010-04-05 00:00:00",886
"2010-04-06 00:00:00",901
"2010-04-07 00:00:00",872
"2010-04-08 00:00:00",903
"2010-04-09 00:00:00",801
"2010-04-10 00:00:00",672
"2010-04-11 00:00:00",616
"2010-04-12 00:00:00",993
"2010-04-13 00:00:00",999
"2010-04-14 00:00:00",1048
"2010-04-15 00:00:00",915
"2010-04-16 00:00:00",922
"2010-04-17 00:00:00",731
"2010-04-18 00:00:00",744
"2010-04-19 00:00:00",899
"2010-04-20 00:00:00",1040
"2010-04-21 00:00:00",1068
"2010-04-22 00:00:00",927
"2010-04-23 00:00:00",896
"2010-04-24 00:00:00",767
"2010-04-25 00:00:00",793
"2010-04-26 00:00:00",1053
"2010-04-27 00:00:00",975
"2010-04-28 00:00:00",986
"2010-04-29 00:00:00",1052
"2010-04-30 00:00:00",960
"2010-05-01 00:00:00",742
"2010-05-02 00:00:00",788
"2010-05-03 00:00:00",965
"2010-05-04 00:00:00",1074
"2010-05-05 00:00:00",1379
"2010-05-06 00:00:00",942
"2010-05-07 00:00:00",897
"2010-05-08 00:00:00",699
"2010-05-09 00:00:00",695
"2010-05-10 00:00:00",913
